decade,concept,align,concept_hits,sentiment_raw,sentiment_delta,unemployment_raw,unemployment_delta,health_raw,health_delta,privacy_raw,privacy_delta,childhood_raw,childhood_delta,information_raw,information_delta,tech_companies_raw,tech_companies_delta
2000,phone_social,reference,19,0.068264641,0.071657211,0.3078327476978302,0.14258578419685364,0.3156338036060333,0.12047500908374786,0.5253068804740906,0.3227071911096573,0.3922593295574188,0.20195485651493073,0.3876238465309143,0.17856267094612122,0.40532809495925903,0.21322020888328552
2010,phone_social,anchors:50000,20,0.096347556,0.098923787,0.30352842807769775,0.1397632211446762,0.2854841947555542,0.081111655,0.5234635472297668,0.3178170621395111,0.36630117893218994,0.18210375308990479,0.3854207992553711,0.1824312061071396,0.41462379693984985,0.21901190280914307
1900,smartphone,anchors:28374,3,,,,,,,,,,,,,,
1910,smartphone,anchors:32789,3,,,,,,,,,,,,,,
1920,smartphone,anchors:37738,3,,,,,,,,,,,,,,
1930,smartphone,anchors:41609,3,,,,,,,,,,,,,,
1940,smartphone,anchors:44918,3,,,,,,,,,,,,,,
1950,smartphone,anchors:48333,3,,,,,,,,,,,,,,
1960,smartphone,anchors:50000,3,,,,,,,,,,,,,,
1970,smartphone,anchors:50000,4,0.05081002,0.054354323,0.3162941634654999,0.12948770821094513,0.40341082215309143,0.1872255653142929,0.5138073563575745,0.2882382571697235,0.3636340796947479,0.14458337426185608,0.38387319445610046,0.15280991792678833,0.4424074590206146,0.23288822174072266
1980,smartphone,anchors:50000,4,0.05129296,0.056025829166173935,0.32763558626174927,0.14269457757472992,0.35733720660209656,0.1430940181016922,0.5128931999206543,0.2802138030529022,0.34221240878105164,0.12610328197479248,0.3432839810848236,0.11359129846096039,0.43998149037361145,0.2241574227809906
1990,smartphone,anchors:50000,7,0.079241954,0.095143955,0.29903122782707214,0.1206696480512619,0.35876742005348206,0.14880813658237457,0.513819695,0.28929421305656433,0.263336182,0.061733112,0.2740732431411743,0.047798589,0.45229068398475647,0.24371561408042908
2000,smartphone,reference,10,0.077078998,0.080471569,0.22732985019683838,0.062082886695861816,0.24771928787231445,0.052560493,0.4656009376049042,0.2630012482404709,0.28344783186912537,0.093143359,0.2701672613620758,0.061106085777282715,0.37143176794052124,0.17932388186454773
2010,smartphone,anchors:50000,10,0.11755847185850143,0.12013470381498337,0.2407389134168625,0.076973706,0.21331459283828735,0.008942053,0.46065789461135864,0.2550114095211029,0.2892213463783264,0.10502392053604126,0.23883748054504395,0.035847887,0.3651003837585449,0.16948848962783813
1900,social_media,anchors:28374,3,,,,,,,,,,,,,,
1910,social_media,anchors:32789,4,0.10793860256671906,0.11070363153703511,0.4708516299724579,0.23828956484794617,0.537726879,0.26612356305122375,0.5308108925819397,0.23494097590446472,0.4852811396121979,0.22415566444396973,0.4746333658695221,0.19771412014961243,0.4255499541759491,0.194230318
1920,social_media,anchors:37738,5,0.067313567,0.074867411,0.39981648325920105,0.19793906807899475,0.4898073971271515,0.24087581038475037,0.47454965114593506,0.20259210467338562,0.4437231719493866,0.20301209390163422,0.4738572835922241,0.22717039287090302,0.46501681208610535,0.23753619194030762
1930,social_media,anchors:41609,5,0.044202543795108795,0.0462047,0.4170680046081543,0.21716201305389404,0.44732925295829773,0.21256084740161896,0.446247935,0.1890324056148529,0.4125106930732727,0.1799895316362381,0.4455540180206299,0.20739349722862244,0.4920704960823059,0.2654188424348831
1940,social_media,anchors:44918,5,0.027875867,0.032985071,0.4039507806301117,0.20370717346668243,0.4730958640575409,0.2426278442144394,0.417227566,0.1812260001897812,0.4134770333766937,0.1949479877948761,0.46188366413116455,0.23165977001190186,0.4872824251651764,0.26675766706466675
1950,social_media,anchors:48333,5,0.001789128,0.006037495,0.42568469047546387,0.22936847805976868,0.4498997628688812,0.22507354617118835,0.4517386853694916,0.21390870213508606,0.45872098207473755,0.23756781220436096,0.5026401877403259,0.2716601639986038,0.45330923795700073,0.2427065074443817
1960,social_media,anchors:50000,5,-0.005742721,-0.001228752,0.43269944190979004,0.24285778403282166,0.485654354,0.26500892639160156,0.46914827823638916,0.23858660459518433,0.46800941228866577,0.25224173069000244,0.5228646993637085,0.2852536588907242,0.4934432804584503,0.28347738087177277
1970,social_media,anchors:50000,5,-0.047974497,-0.044430195,0.4307525157928467,0.24394606053829193,0.4120655059814453,0.1958802491426468,0.44896987080574036,0.2234007716178894,0.40972808,0.19067737460136414,0.5005975365638733,0.26953426003456116,0.4921905994415283,0.28267136216163635
1980,social_media,anchors:50000,5,-0.052582368,-0.047849499,0.382324755,0.19738374650478363,0.43072670698165894,0.21648351848125458,0.47217270731925964,0.23949331045150757,0.42367953062057495,0.2075704038143158,0.4945870339870453,0.26489435136318207,0.4632236659526825,0.24739959836006165
1990,social_media,anchors:50000,7,-0.004136708,0.011765293311327696,0.3581613302230835,0.17979975044727325,0.3867092430591583,0.17674995958805084,0.48912960290908813,0.2646041214466095,0.454334021,0.25273095071315765,0.46344974637031555,0.2371750921010971,0.4601381719112396,0.25156310200691223
2000,social_media,reference,9,0.044478405,0.047870975686237216,0.32767730951309204,0.16243034601211548,0.3205187916755676,0.12535999715328217,0.47707322239875793,0.27447353303432465,0.42413151264190674,0.23382703959941864,0.4296164810657501,0.22055530548095703,0.35524389147758484,0.16313600540161133
2010,social_media,anchors:50000,10,0.045814976,0.048391208,0.3015138804912567,0.13774867355823517,0.29949140548706055,0.095118865,0.4648343622684479,0.25918787717819214,0.365452379,0.18125495314598083,0.4639361500740051,0.2609465569257736,0.3679138123989105,0.17230191826820374
